,red,blue,green,hue,saturation,value,ph
810,0.5372549,0.5803922,0.8509804,231.75,0.36866352,0.8509804,4.2
3964,0.99215686,0.57254905,0.94509804,306.729,0.42292482,0.99215686,10.0
434,0.49019608,0.53333336,0.79607844,231.53847,0.3842364,0.79607844,4.0
158,0.4862745,0.5411765,0.8,229.5,0.3921568,0.8,4.0
569,0.5372549,0.57254905,0.80784315,232.17392,0.33495137,0.80784315,4.2
3284,0.50980395,0.49411765,0.62352943,247.27274,0.20754716,0.62352943,8.2
1290,0.54509807,0.84705883,0.84313726,179.22075,0.3564814,0.84705883,6.8
10,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
3464,0.41960785,0.4392157,0.59607846,233.33334,0.2960526,0.59607846,8.2
4552,0.79607844,0.40784314,0.74509805,307.8788,0.48768467,0.79607844,14.0
2524,0.5137255,0.59607846,0.83137256,224.44446,0.3820754,0.83137256,7.6
2421,0.74509805,0.8352941,1.0,218.76924,0.25490192,1.0,7.2
286,0.4745098,0.54901963,0.8039216,226.42857,0.40975603,0.8039216,4.0
4735,0.7921569,0.4,0.7411765,307.80002,0.49504942,0.7921569,14.0
1049,0.47843137,0.75686276,0.77254903,183.20003,0.3807106,0.77254903,6.8
2894,0.5019608,0.5921569,0.8745098,225.4737,0.42600888,0.8745098,7.6
4526,0.7882353,0.43529412,0.73333335,309.33334,0.44776112,0.7882353,14.0
4324,0.9843137,0.5254902,0.92941177,307.1795,0.46613538,0.9843137,12.0
1980,0.46666667,0.74509805,0.74509805,179.99997,0.37368417,0.74509805,7.0
384,0.4745098,0.5294118,0.7607843,228.49315,0.37628862,0.7607843,4.0
3216,0.42745098,0.41568628,0.5764706,244.39024,0.27891153,0.5764706,8.2
263,0.47843137,0.5254902,0.78431374,230.76923,0.38999996,0.78431374,4.0
1510,0.5058824,0.7254902,0.73333335,182.069,0.31016034,0.73333335,7.0
4721,0.80784315,0.39215687,0.7529412,307.92453,0.514563,0.80784315,14.0
