,red,blue,green,hue,saturation,value,ph
0,0.49411765,0.52156866,0.7254902,232.88135,0.31891888,0.7254902,4.0
1,0.47843137,0.5176471,0.7254902,230.4762,0.3405405,0.7254902,4.0
2,0.4862745,0.52156866,0.7294118,231.29031,0.33333328,0.7294118,4.0
3,0.47843137,0.52156866,0.7294118,229.6875,0.344086,0.7294118,4.0
4,0.48235294,0.5294118,0.73333335,228.75,0.34224594,0.73333335,4.0
5,0.47843137,0.52156866,0.7372549,230.0,0.3510638,0.7372549,4.0
6,0.46666667,0.50980395,0.7254902,230.0,0.35675672,0.7254902,4.0
7,0.48235294,0.5176471,0.7529412,232.1739,0.35937494,0.7529412,4.0
8,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
9,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
10,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
11,0.4627451,0.5176471,0.7490196,228.49315,0.3821989,0.7490196,4.0
12,0.4627451,0.5176471,0.7490196,228.49315,0.3821989,0.7490196,4.0
13,0.45490196,0.5137255,0.74509805,227.83784,0.38947362,0.74509805,4.0
14,0.4627451,0.5176471,0.7490196,228.49315,0.3821989,0.7490196,4.0
15,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
16,0.47843137,0.5137255,0.7490196,232.1739,0.3612565,0.7490196,4.0
17,0.44313726,0.50980395,0.7411765,226.57895,0.40211636,0.7411765,4.0
18,0.44313726,0.50980395,0.7411765,226.57895,0.40211636,0.7411765,4.0
19,0.44313726,0.50980395,0.7411765,226.57895,0.40211636,0.7411765,4.0
20,0.44705883,0.5137255,0.74509805,226.57895,0.39999995,0.74509805,4.0
21,0.44705883,0.5137255,0.74509805,226.57895,0.39999995,0.74509805,4.0
22,0.45490196,0.5176471,0.7490196,227.2,0.3926701,0.7490196,4.0
23,0.4627451,0.5137255,0.75686276,229.6,0.38860098,0.75686276,4.0
24,0.45490196,0.50980395,0.7490196,228.8,0.3926701,0.7490196,4.0
25,0.44705883,0.50980395,0.7490196,227.53247,0.4031413,0.7490196,4.0
26,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
27,0.44705883,0.50980395,0.7490196,227.53247,0.4031413,0.7490196,4.0
28,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
29,0.45490196,0.50980395,0.7490196,228.8,0.3926701,0.7490196,4.0
30,0.4627451,0.5137255,0.75686276,229.6,0.38860098,0.75686276,4.0
31,0.4627451,0.5137255,0.75686276,229.6,0.38860098,0.75686276,4.0
32,0.4627451,0.5137255,0.75686276,229.6,0.38860098,0.75686276,4.0
33,0.46666667,0.5176471,0.7607843,229.6,0.38659787,0.7607843,4.0
34,0.4627451,0.5137255,0.75686276,229.6,0.38860098,0.75686276,4.0
35,0.45490196,0.5137255,0.74509805,227.83784,0.38947362,0.74509805,4.0
36,0.46666667,0.52156866,0.7529412,228.49315,0.38020828,0.7529412,4.0
37,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
38,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
39,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
40,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
41,0.45490196,0.5137255,0.75686276,228.31169,0.3989637,0.75686276,4.0
42,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
43,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
44,0.4627451,0.5254902,0.7647059,227.53247,0.39487174,0.7647059,4.0
45,0.4627451,0.5254902,0.7647059,227.53247,0.39487174,0.7647059,4.0
46,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
47,0.4627451,0.5254902,0.7647059,227.53247,0.39487174,0.7647059,4.0
48,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
49,0.46666667,0.5176471,0.7607843,229.6,0.38659787,0.7607843,4.0
50,0.47058824,0.52156866,0.7647059,229.6,0.38461533,0.7647059,4.0
51,0.46666667,0.5176471,0.7607843,229.6,0.38659787,0.7607843,4.0
52,0.46666667,0.5176471,0.7607843,229.6,0.38659787,0.7607843,4.0
53,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
54,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
55,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
56,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
57,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
58,0.47058824,0.52156866,0.7647059,229.6,0.38461533,0.7647059,4.0
59,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
60,0.4745098,0.5254902,0.76862746,229.6,0.382653,0.76862746,4.0
61,0.4627451,0.5254902,0.7647059,227.53247,0.39487174,0.7647059,4.0
62,0.4627451,0.5254902,0.7647059,227.53247,0.39487174,0.7647059,4.0
63,0.46666667,0.53333336,0.7607843,226.4,0.38659787,0.7607843,4.0
64,0.46666667,0.53333336,0.7607843,226.4,0.38659787,0.7607843,4.0
65,0.46666667,0.53333336,0.7607843,226.4,0.38659787,0.7607843,4.0
66,0.46666667,0.53333336,0.7607843,226.4,0.38659787,0.7607843,4.0
67,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
68,0.45882353,0.5176471,0.7607843,228.31169,0.39690715,0.7607843,4.0
69,0.4745098,0.5294118,0.7607843,228.49315,0.37628862,0.7607843,4.0
70,0.4745098,0.5294118,0.7607843,228.49315,0.37628862,0.7607843,4.0
71,0.4745098,0.5294118,0.7607843,228.49315,0.37628862,0.7607843,4.0
72,0.4745098,0.5294118,0.7607843,228.49315,0.37628862,0.7607843,4.0
73,0.4627451,0.5254902,0.75686276,227.2,0.38860098,0.75686276,4.0
74,0.46666667,0.53333336,0.7607843,226.4,0.38659787,0.7607843,4.0
75,0.46666667,0.5294118,0.76862746,227.53247,0.3928571,0.76862746,4.0
76,0.47058824,0.53333336,0.77254903,227.53247,0.39086288,0.77254903,4.0
77,0.47058824,0.53333336,0.77254903,227.53247,0.39086288,0.77254903,4.0
78,0.47058824,0.53333336,0.77254903,227.53247,0.39086288,0.77254903,4.0
79,0.47058824,0.5254902,0.78431374,229.5,0.39999995,0.78431374,4.0
80,0.48235294,0.5372549,0.79607844,229.5,0.39408863,0.79607844,4.0
81,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
82,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
83,0.48235294,0.5372549,0.7764706,228.8,0.37878782,0.7764706,4.0
84,0.47843137,0.53333336,0.77254903,228.8,0.3807106,0.77254903,4.0
85,0.46666667,0.5294118,0.76862746,227.53247,0.3928571,0.76862746,4.0
86,0.46666667,0.5294118,0.76862746,227.53247,0.3928571,0.76862746,4.0
87,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
88,0.47058824,0.5254902,0.78431374,229.5,0.39999995,0.78431374,4.0
89,0.47058824,0.5254902,0.78431374,229.5,0.39999995,0.78431374,4.0
90,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
91,0.48235294,0.5294118,0.7921569,230.88608,0.39108905,0.7921569,4.0
92,0.48235294,0.5294118,0.7921569,230.88608,0.39108905,0.7921569,4.0
93,0.48235294,0.5294118,0.7921569,230.88608,0.39108905,0.7921569,4.0
94,0.47843137,0.5254902,0.78431374,230.76923,0.38999996,0.78431374,4.0
95,0.4745098,0.52156866,0.78039217,230.76923,0.39195976,0.78039217,4.0
96,0.49019608,0.53333336,0.79607844,231.53847,0.3842364,0.79607844,4.0
97,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
98,0.48235294,0.5372549,0.79607844,229.5,0.39408863,0.79607844,4.0
99,0.48235294,0.5372549,0.79607844,229.5,0.39408863,0.79607844,4.0
100,0.4745098,0.53333336,0.7921569,228.88889,0.40099004,0.7921569,4.0
101,0.48235294,0.5372549,0.79607844,229.5,0.39408863,0.79607844,4.0
102,0.47058824,0.5254902,0.78431374,229.5,0.39999995,0.78431374,4.0
103,0.49019608,0.53333336,0.79607844,231.53847,0.3842364,0.79607844,4.0
104,0.49019608,0.53333336,0.79607844,231.53847,0.3842364,0.79607844,4.0
105,0.49019608,0.53333336,0.79607844,231.53847,0.3842364,0.79607844,4.0
106,0.49411765,0.5372549,0.8,231.53847,0.3823529,0.8,4.0
107,0.49803922,0.54509807,0.8039216,230.76923,0.38048777,0.8039216,4.0
108,0.49411765,0.5372549,0.8,231.53847,0.3823529,0.8,4.0
109,0.4862745,0.5411765,0.8,229.5,0.3921568,0.8,4.0
110,0.48235294,0.5372549,0.79607844,229.5,0.39408863,0.79607844,4.0
111,0.4627451,0.5372549,0.8,226.74419,0.42156857,0.8,4.0
112,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
113,0.47843137,0.5529412,0.80784315,226.42857,0.40776694,0.80784315,4.0
114,0.47843137,0.5529412,0.80784315,226.42857,0.40776694,0.80784315,4.0
115,0.4862745,0.5372549,0.8039216,230.37038,0.3951219,0.8039216,4.0
116,0.4862745,0.5372549,0.8039216,230.37038,0.3951219,0.8039216,4.0
117,0.47843137,0.5529412,0.80784315,226.42857,0.40776694,0.80784315,4.0
118,0.47843137,0.5529412,0.80784315,226.42857,0.40776694,0.80784315,4.0
119,0.47843137,0.5529412,0.80784315,226.42857,0.40776694,0.80784315,4.0
120,0.4745098,0.54901963,0.8039216,226.42857,0.40975603,0.8039216,4.0
121,0.4745098,0.54901963,0.8039216,226.42857,0.40975603,0.8039216,4.0
122,0.4745098,0.54901963,0.8039216,226.42857,0.40975603,0.8039216,4.0
123,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
124,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
125,0.47843137,0.54901963,0.8156863,227.44186,0.41346148,0.8156863,4.0
126,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
127,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
128,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
129,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
130,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
131,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
132,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
133,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
134,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
135,0.47843137,0.54901963,0.8156863,227.44186,0.41346148,0.8156863,4.0
136,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
137,0.4627451,0.5372549,0.8,226.74419,0.42156857,0.8,4.0
138,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
139,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
140,0.47058824,0.5411765,0.8039216,227.29411,0.41463408,0.8039216,4.0
141,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
142,0.4745098,0.54509807,0.8117647,227.44186,0.4154589,0.8117647,4.0
143,0.49019608,0.5411765,0.8117647,230.48781,0.3961352,0.8117647,4.0
144,0.49019608,0.5411765,0.8117647,230.48781,0.3961352,0.8117647,4.0
